"Story","Title","Result","Date","Stability","Duration (s)"
"API postman-echo","The Quality Analyst verifies the response of the service with the GET method","SUCCESS","2021-08-16T10:35:26.818-05:00[America/Bogota]","0.0","5.61"
"API postman-echo","The Quality Analyst verifies the response of the service with POST method","SUCCESS","2021-08-16T10:35:32.431-05:00[America/Bogota]","0.0","2.48"
